Estacion,Provincia,2014,2015,2016,2017,2018,2019,2020,2021,2022,Gestion,Nivel
LE104,Leon,0.008,,,0.01,,,0.04,,,L,2
LE105,Leon,,,,,,,0.1,,,L,2
LE106,Leon,,,,,,,0.16,,,L,2
LE107,Leon,,,,,,,0.13,,,L,2
LE108,Leon,0.03,,,0.19,,,0.13,,,L,2
LE109,Leon,0.1,,,0.56,,,0.5,,,AREC,2
LE110,Leon,,,,0.08,,,0.34,,,L,2
LE111,Leon,,,,0.12,,,0.51,,,CCM,2
LE112,Leon,,,,,,,0.21,,,L,2
LE113,Leon,0.23,,,0.34,,,0.48,,,L,2
LE114,Leon,0.11,,,0.26,,,0.28,,,L,2
LE115,Leon,0.02,,,0.31,,,0.1,,,CCM,2
LE116,Leon,0.27,,,0.7,,,0.32,,,L,2
LE117,Leon,0.03,,,0.19,,,0.11,,,L,2
LE118,Leon,0.01,,,0.04,,,0.01,,,CCM,2
LE119,Leon,0.04,,,0.19,,,0.04,,,CCM,2
LE120,Leon,0.08,,,2.04,,,0.59,,,L,2
LE121,Leon,0.036,,,0.146,,,0.09,,,L,2
LE122,Leon,0.014,,,0.121,,,0.24,,,L,2
LE123,Leon,0.012,,,0.21,,,,,,L,2
LE125,Leon,,,,,,,0.09,,,L,2
LE126,Leon,0.001,,,0.114,,,0.05,,,L,2
LE127,Leon,0.163,,,0.377,,,0.54,,,L,2
LE129,Leon,0.02,,,0.11,,,0.18,,,L,2
LE130,Leon,0,,,,,,0.2,,,L,2
LE131,Leon,,0.02,,,0.11,,,0.19,,L,2
LE132,Leon,,0.37,,,0.13,,,0.19,,L,2
LE133,Leon,,0.05,,,0.03,,,0.33,,L,2
LE134,Leon,,0.23,,,0.25,,,0.2,,V,2
LE135,Leon,,0.07,,,0.1,,,0.15,,L,2
LE136,Leon,,,,,0.1,,,0.16,,L,2
LE137,Leon,,0.24,,,0.21,,,0.63,,L,2
LE138,Leon,,0.41,,,0.48,,,0.26,,CSM,2
LE139,Leon,,0.14,,,0.1,,,0.22,,L,2
LE140,Leon,,0.04,,,0.11,,,0.09,,CCM,2
LE142,Leon,,0.08,,,,,,0.05,,L,2
LE145,Leon,,,,,0.16,,,0.37,,CM,2
LE146,Leon,,0.09,,,0.08,,,0.19,,CM,2
LE147,Leon,,,,,0.28,,,0.43,,L,2
LE148,Leon,,,,,0.05,,,0.36,,CM,2
LE149,Leon,,,,,0.03,,,0.1,,CM,2
LE151,Leon,,,,,0.11,,,0.85,,L,2
LE152,Leon,,0.14,,,0.23,,,0.43,,L,2
LE153,Leon,,0.11,,,0.14,,,0.43,,CCM,2
LE154,Leon,,0.11,,,0.15,,,0.21,,CCM,2
LE155,Leon,,0.08,,,0.03,,,0.06,,L,2
LE156,Leon,,0.22,,,0.13,,,0.32,,CM,2
LE157,Leon,,0.13,,,0.1,,,0.23,,L,2
LE158,Leon,,0.27,,,0.15,,,0.25,,CM,2
LE160,Leon,,0.07,,,0.04,,,0.17,,CM,2
LE162,Leon,,0.08,,,0.18,,,0.45,,V,2
LE163,Leon,,0.05,,,0.34,,,0.35,,CM,2
LE164,Leon,,,,,0.63,,,0.46,,CM,2
LE165,Leon,,0.58,,,0.31,,,0.56,,CSM,2
LE166,Leon,,0.05,,,0.12,,,0.4,,L,2
LE167,Leon,,0.06,,,0.09,,,0.36,,L,2
LE168,Leon,,,,,0.14,,,0.56,,CCM,2
LE169,Leon,,,,,0.08,,,0.64,,L,2
LE171,Leon,,,,,,,,0.01,,L,2
LE172,Leon,,,,,,,,,,V,2
LE174,Leon,,0.05,,,0.25,,,0.12,,L,2
LE175,Leon,,0.12,,,0.08,,,0.22,,L,2
LE176,Leon,,0.02,,,0.16,,,0.37,,L,2
LE177,Leon,,0.06,,,0.11,,,0.38,,CCM,2
LE178,Leon,,,,,0.27,,,0.36,,L,2
LE179,Leon,,,,,0.34,,,0.94,,L,2
LE181,Leon,,,,,0.17,,,0.6,,L,2
