Estacion,Provincia,2014,2015,2016,2017,2018,2019,2020,2021,2022,Gestion,Nivel
LE104,Leon,0.75,,,1.21,,,2.67,,,L,2
LE105,Leon,,,,,,,10.61,,,L,2
LE106,Leon,,,,,,,2.97,,,L,2
LE107,Leon,,,,,,,5.72,,,L,2
LE108,Leon,1.16,,,3.54,,,4.67,,,L,2
LE109,Leon,2.73,,,16.51,,,22.29,,,AREC,2
LE110,Leon,,,,3.92,,,9.85,,,L,2
LE111,Leon,,,,2.69,,,9.31,,,CCM,2
LE112,Leon,,,,,,,6.73,,,L,2
LE113,Leon,10.54,,,18.52,,,11.42,,,L,2
LE114,Leon,5.69,,,5.06,,,5.59,,,L,2
LE115,Leon,2.78,,,8.8,,,3.89,,,CCM,2
LE116,Leon,16.21,,,18.81,,,9.67,,,L,2
LE117,Leon,4.86,,,9.66,,,5.97,,,L,2
LE118,Leon,0.37,,,2.34,,,1.88,,,CCM,2
LE119,Leon,6.82,,,6.34,,,4,,,CCM,2
LE120,Leon,0.921,,,18.457,,,10.28,,,L,2
LE121,Leon,2.455,,,13.034,,,3.89,,,L,2
LE122,Leon,1.89,,,25.035,,,11.03,,,L,2
LE123,Leon,0.971,,,7.581,,,,,,L,2
LE125,Leon,,,,,,,3.71,,,L,2
LE126,Leon,0.019,,,4.415,,,2.26,,,L,2
LE127,Leon,8.801,,,13.89,,,8.85,,,L,2
LE129,Leon,1.76,,,3.72,,,5.19,,,L,2
LE130,Leon,0.05,,,,,,6.53,,,L,2
LE131,Leon,,0.23,,,2.9,,,4.94,,L,2
LE132,Leon,,20.28,,,9.02,,,9.6,,L,2
LE133,Leon,,7.27,,,1.8,,,4.44,,L,2
LE134,Leon,,5.15,,,2.65,,,4.6,,V,2
LE135,Leon,,4.92,,,4.97,,,10.34,,L,2
LE136,Leon,,,,,2.5,,,0.72,,L,2
LE137,Leon,,3.81,,,8.32,,,17.59,,L,2
LE138,Leon,,11.88,,,17.34,,,16.3,,CSM,2
LE139,Leon,,10.81,,,7.34,,,13.52,,L,2
LE140,Leon,,2.96,,,5.36,,,4.65,,CCM,2
LE142,Leon,,3.06,,,,,,1.4,,L,2
LE145,Leon,,,,,2.24,,,5.73,,CM,2
LE146,Leon,,4.79,,,11.34,,,11.29,,CM,2
LE147,Leon,,,,,5.16,,,9.78,,L,2
LE148,Leon,,,,,0.88,,,13.37,,CM,2
LE149,Leon,,,,,1.01,,,3.46,,CM,2
LE151,Leon,,,,,8.49,,,16.24,,L,2
LE152,Leon,,16.9,,,19.94,,,24.97,,L,2
LE153,Leon,,7.55,,,7.45,,,20.05,,CCM,2
LE154,Leon,,5.41,,,11.2,,,13.29,,CCM,2
LE155,Leon,,4.36,,,1.52,,,6.06,,L,2
LE156,Leon,,8.33,,,4.3,,,11.97,,CM,2
LE157,Leon,,6.01,,,3.84,,,12.61,,L,2
LE158,Leon,,5.23,,,5.59,,,13.69,,CM,2
LE160,Leon,,1.61,,,2.17,,,10.37,,CM,2
LE162,Leon,,6.23,,,8.82,,,18.81,,V,2
LE163,Leon,,4.27,,,22.81,,,20.97,,CM,2
LE164,Leon,,,,,14.86,,,16.38,,CM,2
LE165,Leon,,27.06,,,14.14,,,16.96,,CSM,2
LE166,Leon,,0.68,,,2.12,,,13.35,,L,2
LE167,Leon,,1.01,,,8.9,,,12.49,,L,2
LE168,Leon,,,,,4.96,,,16.84,,CCM,2
LE169,Leon,,,,,3.79,,,11.12,,L,2
LE171,Leon,,,,,,,,3.82,,L,2
LE172,Leon,,,,,,,,,,V,2
LE174,Leon,,1.83,,,4.91,,,2.51,,L,2
LE175,Leon,,4.71,,,4.24,,,6.24,,L,2
LE176,Leon,,1.06,,,5.46,,,9.27,,L,2
LE177,Leon,,1.98,,,6.71,,,10.38,,CCM,2
LE178,Leon,,,,,10.56,,,17.38,,L,2
LE179,Leon,,,,,4.44,,,20.24,,L,2
LE181,Leon,,,,,1.96,,,12.83,,L,2
LE182,Leon,,1.09,,,3,,,10.58,,L,2
LE183,Leon,,0.13,,,4.41,,,10.74,,L,2
LE184,Leon,,,,,0.83,,,1.39,,L,2
LE185,Leon,,0.01,,,0.01,,,0.47,,L,2
LE186,Leon,,,,,3.59,,,6.08,,L,2
LE187,Leon,,2.73,,,5.83,,,13.09,,L,2
LE188,Leon,,6.13,,,4.51,,,7.58,,CCM,2
LE190,Leon,,0.76,,,1.32,,,5.85,,L,2
LE191,Leon,,0.67,,,3.22,,,5.18,,L,2
LE198,Leon,,5,,,5.15,,,12.12,,CSM,
LE219,Leon,1.74,,,1.85,,,3.25,,,L,2
LE222,Leon,2.76,,,4.5,,,5.51,,,L,2
LE223,Leon,,,,,,,4.6,,,L,2
LE225,Leon,,,,,,,6.14,,,L,2
LE228,Leon,,,,,,,3.66,,,L,2
LE231,Leon,,,,,,,14.67,,,CCM,2
LE243,Leon,,,,,,,4.45,,,L,2
LE271,Leon,,,,,,,,0.17,,V,2
LE273,Leon,,,,,3.48,,,19.54,,L,2
LE348,Leon,,,,,,,8.48,,,L,2
LE430,Leon,,3.79,,,1.47,,,4.84,,L,2
LE432,Leon,,0.5,,,0.7,,,2.24,,L,2
LE842,Leon,,0.12,,,1.17,,,5.46,,L,2
LE-AREC-3,Leon,,,,,2.85,,,11.95,,AREC,2
